000 -19.032770 -76.735474 -30.585320   9.500585
001 -21.849472 -76.764984 -30.345314   9.616760
002 -22.303633 -76.980453 -32.097198  10.049558
003 -19.726786 -76.747635 -32.337902   9.751387
004 -19.315004 -76.340500 -29.259584   8.988736
005 -21.134893 -75.737839 -28.942104   8.453972
006 -23.784550 -76.084824 -30.252359   9.206641
007 -24.156841 -76.603333 -31.450232   9.880732
008 -22.355730 -76.701675 -34.302944  10.161293
009 -21.042440 -76.229752 -34.938221   9.764325
010 -19.419092 -76.263596 -33.623554   9.525518
011 -19.238432 -75.757034 -22.957888   8.932550
012 -21.667505 -75.591904 -22.331316   8.842515
013 -20.006487 -75.979248 -23.801544   9.037033
014 -18.750845 -75.148483 -22.020687   8.450200
015 -22.689669 -75.924728 -23.618790   9.122014
016 -23.863966 -75.418762 -22.588106   8.829472
017 -25.117346 -75.984543 -24.883137   9.379562
018 -20.045952 -76.029739 -25.976274   8.815617
019 -23.018499 -76.030640 -26.178741   9.053550
020 -16.640417 -75.796036 -29.547764   8.652064
021 -15.125676 -74.458481 -29.161007   7.541949
022 -17.643000 -74.923477 -28.623432   7.601029
023 -15.962406 -75.946777 -30.688877   9.091111
024 -19.534241 -75.430283 -28.564240   8.054770
025 -14.544365 -75.010529 -30.182407   8.355900
026 -14.007570 -75.258850 -31.819551   9.026661
027 -16.769121 -76.130478 -31.911131   9.353227
028 -22.928070 -75.532425 -29.447897   8.484896
029 -17.209343 -75.782394 -33.545048   9.256743
030 -25.224453 -76.565018 -32.949425  10.294317
031 -25.354370 -75.966461 -31.606997   9.562171
032 -19.210602 -75.619339 -35.509808   9.311250
033 -24.411535 -76.445679 -36.052128  10.705538
034 -26.290524 -76.233780 -35.004780  10.717223
035 -26.743334 -75.948654 -33.755222  10.315751
036 -20.954277 -75.921219 -36.894833  10.011727
037 -21.664389 -75.849289 -38.263176  10.516827
038 -27.381218 -75.406357 -36.782665  10.901983
039 -22.916885 -75.679153 -38.817207  10.782671
040 -24.718369 -75.881424 -37.873024  10.915337
041 -26.520960 -75.352112 -37.741268  10.924118
042 -24.667892 -75.168365 -39.143387  10.869542
043 -21.086037 -75.396301 -11.233797   8.828689
044 -20.441072 -75.637726 -12.462926   8.844067
045 -19.959997 -74.695557 -11.202113   8.069366
046 -21.736252 -76.276535 -14.452293   9.503453
047 -22.704824 -75.613297 -11.876071   9.162806
048 -13.094216 -74.764694 -15.750793   8.135824
049 -13.949763 -74.440292 -12.530210   7.971923
050 -15.955058 -75.442703 -13.664496   8.544978
051 -20.367989 -75.902222 -13.832146   9.005748
052 -19.616526 -74.750473 -12.799996   7.887630
053 -15.244980 -75.717560 -16.088753   8.739735
054 -16.780270 -75.798813 -14.928912   8.737206
055 -17.397585 -75.126160 -13.361380   8.183682
056 -18.066309 -75.078751 -13.972196   8.066436
057 -19.558214 -76.122894 -15.039134   9.133816
058 -19.437927 -75.429352 -13.819962   8.468975
059 -18.884779 -75.153503 -14.071998   8.161991
060 -16.568562 -76.236420 -17.644470   9.286847
061 -18.253948 -76.031448 -15.514719   8.982079
062 -18.180170 -76.546967 -17.817932   9.621681
063 -18.597380 -74.802521 -13.771546   7.814096
