000  27.183588 -88.282272 -23.530764  10.357668
001  28.432768 -87.638519 -22.965885  10.079654
002  26.364948 -87.885620 -21.980131   9.888001
003  27.996435 -88.445343 -25.790529  10.742233
004  29.076958 -87.947052 -24.940655  10.549340
005  26.041523 -88.314651 -24.713608  10.202697
006  29.709249 -87.854385 -26.897429  10.775059
007  30.602064 -86.430099 -24.350119   9.766526
008  31.231421 -86.565323 -27.498089  10.290598
009  26.985655 -88.494644 -27.526379  10.722071
010  25.387892 -88.118683 -27.868443  10.193697
011  28.747200 -88.293304 -28.889175  11.118076
012  30.443617 -87.284500 -30.317245  10.949890
013  27.561090 -88.311218 -30.012321  11.047414
014  26.376074 -88.120132 -30.263092  10.735131
015  29.311781 -87.628143 -32.108078  11.240963
016  25.102114 -87.633194 -29.631165  10.024514
017  18.403267 -87.698654 -30.890970  10.594474
018  16.333473 -87.263748 -31.110943  10.234162
019  17.185518 -87.488586 -32.005287  10.641258
020  30.308981 -86.964706 -33.132828  11.194492
021  27.312933 -87.529129 -33.210732  10.991312
022  25.465145 -87.396088 -31.993374  10.373980
023  28.973036 -87.296585 -33.965420  11.325185
024  16.502289 -86.758224 -33.277512  10.293601
025  26.095755 -87.023148 -33.798393  10.565057
026  27.404697 -87.137726 -20.310135   9.576751
027  25.911264 -86.945160 -18.722591   9.361943
028  29.282717 -86.382095 -21.434929   9.340356
029  27.983723 -85.653397 -18.644958   8.723969
030  23.735682 -87.120651 -18.925955   9.308661
031  23.049364 -87.453690 -22.106968   9.305289
032  24.615211 -88.027328 -25.918406   9.865829
033  23.387104 -87.846329 -25.950893   9.719718
034  20.836535 -87.054276 -23.536495   9.179792
035  22.130041 -87.588943 -26.774286   9.648575
036  24.932039 -87.369034 -28.382296   9.507049
037  17.508799 -87.272888 -24.381474   9.664983
038  16.585125 -87.127777 -26.063969   9.561502
039  18.486580 -87.272125 -25.903507   9.577487
040  18.902605 -87.047852 -23.452272   9.379952
041  19.906284 -86.936905 -24.385630   9.138614
042  31.482208 -85.660156 -25.754072   9.538188
043  20.336611 -86.996521 -25.397484   9.149991
044  18.780285 -87.613083 -28.023798  10.031195
045  16.930487 -87.456863 -28.329924   9.984124
046  15.025985 -86.568329 -27.399185   9.141339
047  31.919392 -85.959763 -31.101112  10.553890
048  32.174282 -85.753311 -29.385782  10.255364
049  25.160625 -87.414673 -28.830256   9.649753
050  20.892309 -87.482071 -28.028873   9.773259
051  15.175712 -86.691437 -29.108290   9.395863
052  13.875085 -85.515259 -28.186342   8.316569
053  14.633594 -86.142792 -30.569305   9.154238
054  23.362143 -87.606354 -28.866831   9.861142
055  22.487135 -87.329987 -31.587059  10.241423
056  24.474022 -87.241943 -31.645924  10.117595
057  15.236592 -85.928543 -32.821350   9.464802
058  24.918539 -87.058563 -30.893307   9.751699
059  24.947594 -86.651016 -32.459351   9.773906
060  24.686878 -86.919250 -30.712984   9.569190
061  31.738029 -85.744461 -34.041622  10.904434
062  25.421015 -86.587784 -33.335358   9.977661
063  24.346125 -86.746719 -33.355614  10.131643
064  20.701891 -87.209671 -33.732666  10.801284
065  18.278709 -87.200699 -33.603870  10.788095
