000 -19.032770 -76.735474 -30.585320   8.890198
001 -21.849472 -76.764984 -30.345314   8.982988
002 -22.303633 -76.980453 -32.097198   9.411718
003 -19.726786 -76.747635 -32.337902   9.127129
004 -19.315004 -76.340500 -29.259584   8.386986
005 -21.134893 -75.737839 -28.942104   7.841374
006 -23.784550 -76.084824 -30.252359   8.575341
007 -24.156841 -76.603333 -31.450232   9.241456
008 -22.355730 -76.701675 -34.302944   9.507557
009 -21.042440 -76.229752 -34.938221   9.116832
010 -19.419092 -76.263596 -33.623554   8.894991
011 -19.238432 -75.757034 -22.957888   8.375432
012 -21.667505 -75.591904 -22.331316   8.274681
013 -20.006487 -75.979248 -23.801544   8.473813
014 -18.750845 -75.148483 -22.020687   7.878686
015 -22.689669 -75.924728 -23.618790   8.538297
016 -23.863966 -75.418762 -22.588106   8.238316
017 -25.117346 -75.984543 -24.883137   8.783888
018 -20.045952 -76.029739 -25.976274   8.238699
019 -23.018499 -76.030640 -26.178741   8.462881
020 -16.640417 -75.796036 -29.547764   8.062708
021 -15.125676 -74.458481 -29.161007   6.958576
022 -17.643000 -74.923477 -28.623432   7.005780
023 -15.962406 -75.946777 -30.688877   8.487818
024 -19.534241 -75.430283 -28.564240   7.460163
025 -14.544365 -75.010529 -30.182407   7.766923
026 -14.007570 -75.258850 -31.819551   8.438303
027 -16.769121 -76.130478 -31.911131   8.752873
028 -22.928070 -75.532425 -29.447897   7.857088
029 -17.209343 -75.782394 -33.545048   8.652743
030 -25.224453 -76.565018 -32.949425   9.631165
031 -25.354370 -75.966461 -31.606997   8.907749
032 -19.210602 -75.619339 -35.509808   8.677438
033 -24.411535 -76.445679 -36.052128  10.029141
034 -26.290524 -76.233780 -35.004780  10.042892
035 -26.743334 -75.948654 -33.755222   9.645051
036 -20.954277 -75.921219 -36.894833   9.348989
037 -21.664389 -75.849289 -38.263176   9.842575
038 -27.381218 -75.406357 -36.782665  10.220899
039 -22.916885 -75.679153 -38.817207  10.102605
040 -24.718369 -75.881424 -37.873024  10.231345
041 -26.520960 -75.352112 -37.741268  10.239202
042 -24.667892 -75.168365 -39.143387  10.186196
043 -21.086037 -75.396301 -11.233797   8.250417
044 -20.441072 -75.637726 -12.462926   8.256679
045 -19.959997 -74.695557 -11.202113   7.501654
046 -21.736252 -76.276535 -14.452293   8.897620
047 -22.704824 -75.613297 -11.876071   8.570766
048 -13.094216 -74.764694 -15.750793   7.590116
049 -13.949763 -74.440292 -12.530210   7.440937
050 -15.955058 -75.442703 -13.664496   7.989011
051 -20.367989 -75.902222 -13.832146   8.408408
052 -19.616526 -74.750473 -12.799996   7.304868
053 -15.244980 -75.717560 -16.088753   8.156325
054 -16.780270 -75.798813 -14.928912   8.157249
055 -17.397585 -75.126160 -13.361380   7.620677
056 -18.066309 -75.078751 -13.972196   7.487263
057 -19.558214 -76.122894 -15.039134   8.536290
058 -19.437927 -75.429352 -13.819962   7.880015
059 -18.884779 -75.153503 -14.071998   7.567905
060 -16.568562 -76.236420 -17.644470   8.687245
061 -18.253948 -76.031448 -15.514719   8.379905
062 -18.180170 -76.546967 -17.817932   9.021036
063 -18.597380 -74.802521 -13.771546   7.229323
064 -19.702421 -76.511703 -16.730766   8.968639
065 -22.687843 -76.433060 -17.057867   9.203997
066 -23.763088 -76.195709 -14.919408   9.190986
067 -24.716557 -76.026108 -16.191072   9.271417
068 -14.829910 -75.542694 -18.018940   8.155474
069 -12.757169 -74.318100 -17.741095   7.313770
070 -20.286491 -76.498703 -18.061642   9.062314
071 -15.571448 -75.618408 -19.063524   8.254390
072 -13.569238 -73.869263 -19.066734   6.780972
073 -18.051609 -76.318802 -18.903675   8.889561
074 -22.610144 -75.958527 -18.794712   8.742468
075 -24.474068 -75.509689 -18.760008   8.667331
076 -16.989309 -75.594391 -19.696007   8.227243
077 -15.514068 -74.624298 -19.898113   7.333166
078 -21.107880 -75.292206 -19.759159   7.986062
079 -23.438278 -74.992416 -19.606686   7.922122
080 -17.349045 -74.671799 -20.318932   7.346844
